content,a,b,c,d,correct_option
Which sentence correctly places the adverb modifying an adjective?,The exam was surprisingly easy.,The exam was easy surprisingly.,Surprisingly the exam was easy.,The surprisingly exam was easy.,A
Choose the sentence with correct adverb placement modifying the adjective.,She was deeply moved by the story.,She was moved deeply by the story.,Deeply she was moved by the story.,She deeply was moved by the story.,A
What is the maximum term of office for a Governor in India?,3 years,5 years,6 years,7 years,B
Who is the head of the state government in an Indian state?,Governor,Chief Minister,Speaker of Legislative Assembly,Chief Justice of High Court,B
The Governor of a state acts on the advice of whom in most matters?,Chief Minister and Council of Ministers,President of India,Speaker of Legislative Assembly,Supreme Court,A
Who is responsible for the day-to-day administration of a state in India?,Governor,Chief Minister,Chief Secretary,Home Minister,B
Which of the following is NOT a function of the Governor?,Giving assent to bills passed by state legislature,Dissolving the state legislative assembly,Appointing the Prime Minister,Sending report to the President about failure of constitutional machinery,C
The Chief Minister is appointed by the Governor based on the support of which body?,State Legislative Assembly,State Legislative Council,Parliament,Council of Ministers,A
How long can the Governor reserve a bill passed by the state legislature for the consideration of the President?,1 month,2 months,6 months,No fixed time limit,D
Which of the following statements about the Union Executive is correct?,The President is the nominal head of the Union Executive,The Prime Minister is the nominal head of the Union Executive,The Cabinet Secretary is the head of the Union Executive,The Vice-President is the head of the Union Executive,A
Which country will host the G20 Summit in 2024?,Brazil,India,Italy,South Africa,A
Which Governor-General of India introduced the Permanent Settlement of Bengal in 1793?,Lord Cornwallis,Lord Wellesley,Lord Dalhousie,Lord Mayo,A
Who was the Governor-General responsible for the introduction of the Doctrine of Lapse?,Lord Canning,Lord Dalhousie,Lord Wellesley,Lord Hardinge,B
"The Ilbert Bill, which proposed judicial reforms, was introduced during the tenure of which Governor-General?",Lord Canning,Lord Ripon,Lord Lytton,Lord Mayo,B
Which Governor-General is known for introducing the Subsidiary Alliance system in India?,Lord Wellesley,Lord Cornwallis,Lord Dalhousie,Lord Hastings,A
The abolition of Sati was enacted under the governorship of which Governor-General?,Lord Wellesley,Lord Dalhousie,Lord William Bentinck,Lord Canning,C
Which Governor-General introduced the Indian Penal Code in 1860?,Lord Dalhousie,Lord Canning,Lord Ripon,Lord Hardinge,B
During whose tenure as Governor-General was the first railway line in India inaugurated?,Lord Dalhousie,Lord Canning,Lord Lytton,Lord Ripon,A
The Hunter Commission on Education reforms was appointed during the governorship of which Governor-General?,Lord Ripon,Lord Curzon,Lord Lytton,Lord Mayo,B
Which Governor-General is associated with the introduction of the Arms Act in India?,Lord Dalhousie,Lord Lytton,Lord Ripon,Lord Canning,B
The introduction of the Vernacular Press Act was carried out by which Governor-General?,Lord Canning,Lord Lytton,Lord Mayo,Lord Ripon,B
"Two parallel lines are cut by a transversal. If one of the alternate interior angles is 65 degrees, what is the measure of the corresponding angle on the other parallel line?",65 degrees,115 degrees,90 degrees,55 degrees,A
"If the exterior angle formed by a transversal with one of two parallel lines is 110 degrees, what is the corresponding interior angle on the same side of the transversal?",70 degrees,110 degrees,90 degrees,80 degrees,A
Which pair of angles formed by a transversal cutting two parallel lines are always equal?,Alternate interior angles,Consecutive interior angles,Adjacent angles,Vertical angles,A
"If a transversal intersects two parallel lines and one of the interior angles on the same side of the transversal is 120 degrees, what is the measure of the other interior angle on the same side?",120 degrees,60 degrees,90 degrees,180 degrees,B
Two parallel lines are cut by a transversal. Which of the following pairs of angles are supplementary?,Consecutive interior angles,Alternate interior angles,Corresponding angles,Alternate exterior angles,A
"If a transversal cuts two parallel lines and one of the corresponding angles measures 75 degrees, what is the measure of the alternate exterior angle?",75 degrees,105 degrees,90 degrees,180 degrees,A
"If two parallel lines are cut by a transversal, and one of the vertical angles formed is 85 degrees, what is the measure of the alternate interior angle?",85 degrees,95 degrees,180 degrees,175 degrees,A
The sum of the measures of one pair of alternate interior angles formed by a transversal cutting two parallel lines is:,180 degrees,90 degrees,Equal to each angle,360 degrees,C
Which country hosts the annual Cannes Film Festival where the Palme d'Or is awarded?,France,Italy,Spain,Germany,A
"If I __________ enough money, I would buy a new car.",have,had,will have,would have,B
"In a figure, two parallel lines are cut by a transversal. If the angle between the transversal and one of the parallel lines is 40 degrees, what is the measure of the angle between the transversal and the other parallel line on the same side?",40 degrees,50 degrees,140 degrees,130 degrees,B
The Fields Medal is awarded in recognition of outstanding achievements in which discipline?,Mathematics,Medicine,Chemistry,Literature,A
Which Fundamental Right in the Indian Constitution guarantees freedom of speech and expression?,Article 19,Article 21,Article 14,Article 32,A
The Right to Equality is provided under which Article of the Indian Constitution?,Article 14,Article 19,Article 21,Article 25,A
What is 20% of 150?,30,25,20,35,A
"If the price of an article is increased from Rs. 200 to Rs. 250, what is the percentage increase?",20%,25%,15%,30%,B
A student scored 75 marks out of 120. What is his percentage score?,62.5%,60%,65%,70%,A
"If 15% of a number is 45, what is the number?",300,250,350,275,A
The price of a commodity decreases from Rs. 500 to Rs. 400. What is the percentage decrease?,15%,20%,25%,18%,B
"If the population of a town increases from 1,20,000 to 1,38,000, what is the percentage increase in population?",12.5%,15%,10%,14%,A
A shopkeeper gives a discount of 10% on an article marked at Rs. 250. What is the selling price?,225,230,240,220,A
What is the percentage equivalent of the fraction 7/20?,35%,30%,40%,25%,A
"If 60% of a number is 90, what is 25% of the same number?",37.5,40,45,50,A
"If the price of a product increases from ₹200 to ₹250, what is the percentage increase?",20%,25%,30%,15%,B
Identify the sentence that correctly uses the definite article.,I saw a eagle flying over the lake.,The sun rises in the east.,She is an honest person.,He bought a umbrella.,B
Fill in the blank with the correct article: This is ___ unique opportunity for you.,a,an,the,no article,A
Which sentence correctly uses the indefinite article before a vowel sound?,She gave me a apple.,He is an university student.,They saw an elephant at the zoo.,It is a honour to meet you.,C
Choose the correct article: I need ___ advice on how to prepare for the exam.,a,an,the,no article,D
Select the sentence with correct use of the definite article 'the'.,She is the best player in a team.,The Mount Everest is the highest peak.,I have a apple in the bag.,An sun sets in the west.,B
Fill in the blank with the correct article: He is reading ___ interesting book about history.,a,an,the,no article,B
Which article is correctly used in this sentence? ‘___ moon looks beautiful tonight.’,A,An,The,No article,C
Choose the correct article: She returned ___ book she borrowed last week.,a,an,the,no article,C
Select the correct sentence using indefinite articles.,He wants an orange and a banana.,The dog is playing with an ball.,She saw a elephant near the river.,An university is located downtown.,A
"A shopkeeper sells an article at a 10% profit. If the cost price is ₹500, what is the selling price?",₹550,₹520,₹600,₹650,A
A student scored 72% marks and got 360 marks. What is the maximum marks?,500,480,400,450,A
Which national park is known as the 'Land of Tigers' in India?,Jim Corbett National Park,Kanha National Park,Ranthambore National Park,Bandipur National Park,B
Where is the Sundarbans National Park located in India?,West Bengal,Odisha,Assam,Bihar,A
Which national park in India is famous for Asiatic lions?,Gir National Park,Kaziranga National Park,Bandhavgarh National Park,Periyar National Park,A
The Kaziranga National Park is primarily known for the protection of which animal?,Indian Elephant,One-horned Rhinoceros,Bengal Tiger,Asiatic Lion,B
"If A beats B by 20 meters in a 100 meters race, what is the speed ratio of A to B?",5 : 4,4 : 5,6 : 5,5 : 6,A
"Two runners A and B start a race together. If A finishes the race 10 seconds before B and the speed ratio of A to B is 5:4, what is the length of the race if A's speed is 10 m/s?",200 meters,250 meters,300 meters,400 meters,B
"A beats B by 15 meters in a 150 meters race. If the speed ratio of B to C is 3:4, by how many meters will A beat C in the same race?",10 meters,12 meters,8 meters,15 meters,B
"If A is twice as fast as B, and they start a race together, by what distance will A beat B in a 100 meters race?",50 meters,66 meters,33 meters,100 meters,A
"In a race of 120 meters, A beats B by 20 meters. What is the ratio of their speeds?",6 : 5,5 : 6,4 : 3,3 : 4,A
"Runner A beats B and C in a race. If the speed ratio of A to B is 9:8 and B to C is 7:6, what is the speed ratio of A to C?",21 : 16,16 : 21,15 : 14,14 : 15,A
"If A beats B by 30 meters in a 200 meters race, what is the speed ratio of A to B?",20 : 17,17 : 20,10 : 9,9 : 10,A
A and B run a race of 400 meters. A gives B a start of 50 meters and still wins by 10 meters. What is the speed ratio of A to B?,22 : 19,19 : 22,21 : 20,20 : 21,A
